,case,organ,dice,method
488,20,Bladder,0.8132935762405396,06
489,21,Bladder,0.9295095801353455,06
490,22,Bladder,0.8965245485305786,06
491,23,Bladder,0.8655042052268982,06
492,24,Bladder,0.9426308870315552,06
493,25,Bladder,0.8827568888664246,06
494,26,Bladder,0.9487875699996948,06
495,27,Bladder,0.956126868724823,06
496,28,Bladder,0.9288604259490967,06
497,29,Bladder,0.8867557048797607,06
498,30,Bladder,0.8796998858451843,06
499,31,Bladder,0.9341405034065247,06
500,32,Bladder,0.924473762512207,06
501,33,Bladder,0.9549362659454346,06
502,34,Bladder,0.8555335998535156,06
503,35,Bladder,0.8046463131904602,06
504,36,Bladder,0.8665627837181091,06
505,37,Bladder,0.9440463781356812,06
506,38,Bladder,0.9276255965232849,06
507,39,Bladder,0.8996753096580505,06
508,40,Bladder,0.8842772245407104,06
509,41,Bladder,0.8902989625930786,06
510,0,Rectum,0.6041194200515747,06
511,1,Rectum,0.8614514470100403,06
512,2,Rectum,0.4471089243888855,06
513,3,Rectum,0.7842312455177307,06
514,4,Rectum,0.7999395132064819,06
515,5,Rectum,0.740326464176178,06
516,6,Rectum,0.49002647399902344,06
517,7,Rectum,0.6683007478713989,06
518,8,Rectum,0.7526751756668091,06
519,9,Rectum,0.7875685691833496,06
520,10,Rectum,0.684647798538208,06
521,11,Rectum,0.7229393124580383,06
522,12,Rectum,0.47531041502952576,06
523,13,Rectum,0.6533140540122986,06
524,14,Rectum,0.7703685760498047,06
525,15,Rectum,0.6962308883666992,06
526,16,Rectum,0.7111150026321411,06
527,17,Rectum,0.7123727202415466,06
528,18,Rectum,0.7251552939414978,06
529,19,Rectum,0.8170673251152039,06
530,20,Rectum,0.5771092176437378,06
531,21,Rectum,0.6628428101539612,06
532,22,Rectum,0.6928403973579407,06
533,23,Rectum,0.7502533197402954,06
534,24,Rectum,0.46638160943984985,06
535,25,Rectum,0.6053153276443481,06
536,26,Rectum,0.7817277312278748,06
537,27,Rectum,0.7936490178108215,06
538,28,Rectum,0.5315809845924377,06
539,29,Rectum,0.8266499042510986,06
540,30,Rectum,0.7400071024894714,06
541,31,Rectum,0.8104385137557983,06
542,32,Rectum,0.8343287706375122,06
543,33,Rectum,0.7739453315734863,06
544,34,Rectum,0.6886860728263855,06
545,35,Rectum,0.7089006900787354,06
546,36,Rectum,0.7330677509307861,06
547,37,Rectum,0.7540348768234253,06
548,38,Rectum,0.6909449696540833,06
549,39,Rectum,0.7709693908691406,06
550,40,Rectum,0.6505064964294434,06
551,41,Rectum,0.7385475039482117,06
552,0,Bladder,0.9350656867027283,03
553,1,Bladder,0.9596459269523621,03
554,2,Bladder,0.9438167214393616,03
555,3,Bladder,0.9205017685890198,03
556,4,Bladder,0.9644337296485901,03
557,5,Bladder,0.9556326270103455,03
558,6,Bladder,0.8894028067588806,03
559,7,Bladder,0.9540969133377075,03
560,8,Bladder,0.8658847808837891,03
561,9,Bladder,0.9559085965156555,03
562,10,Bladder,0.9648177623748779,03
563,11,Bladder,0.9648491144180298,03
564,12,Bladder,0.9394545555114746,03
565,13,Bladder,0.9332804679870605,03
566,14,Bladder,0.9400081634521484,03
567,15,Bladder,0.8999149799346924,03
568,16,Bladder,0.8995333313941956,03
569,17,Bladder,0.9686331152915955,03
570,18,Bladder,0.9489995241165161,03
571,19,Bladder,0.9648222327232361,03
572,20,Bladder,0.9528136849403381,03
573,21,Bladder,0.9279859662055969,03
574,22,Bladder,0.9546990990638733,03
575,23,Bladder,0.9237473607063293,03
576,24,Bladder,0.9621387720108032,03
577,25,Bladder,0.9419946670532227,03
578,26,Bladder,0.9614151120185852,03
579,27,Bladder,0.9588724374771118,03
580,28,Bladder,0.9674050211906433,03
581,29,Bladder,0.8793611526489258,03
582,30,Bladder,0.945675790309906,03
583,31,Bladder,0.9407882690429688,03
584,32,Bladder,0.959071159362793,03
585,33,Bladder,0.9674142003059387,03
586,34,Bladder,0.9552493691444397,03
587,35,Bladder,0.9624001979827881,03
588,36,Bladder,0.9586242437362671,03
589,37,Bladder,0.9637014269828796,03
590,38,Bladder,0.9607592225074768,03
591,39,Bladder,0.9657183885574341,03
592,40,Bladder,0.88053297996521,03
593,41,Bladder,0.8757282495498657,03
594,42,Bladder,0.9561582803726196,03
595,43,Bladder,0.9656328558921814,03
596,44,Bladder,0.9603673815727234,03
597,45,Bladder,0.909275233745575,03
598,46,Bladder,0.9425273537635803,03
599,47,Bladder,0.9559502005577087,03
600,0,Rectum,0.6796561479568481,03
601,1,Rectum,0.8593721985816956,03
602,2,Rectum,0.5836377143859863,03
603,3,Rectum,0.7929623126983643,03
604,4,Rectum,0.8344211578369141,03
605,5,Rectum,0.781921923160553,03
606,6,Rectum,0.48622167110443115,03
607,7,Rectum,0.7486745715141296,03
608,8,Rectum,0.7330982089042664,03
609,9,Rectum,0.7435560822486877,03
610,10,Rectum,0.8165789246559143,03
611,11,Rectum,0.8104895949363708,03
612,12,Rectum,0.6574640274047852,03
613,13,Rectum,0.7261483073234558,03
614,14,Rectum,0.7867878079414368,03
615,15,Rectum,0.7004066705703735,03
616,16,Rectum,0.7972299456596375,03
617,17,Rectum,0.692307710647583,03
618,18,Rectum,0.7078896760940552,03
619,19,Rectum,0.7950243353843689,03
620,20,Rectum,0.5535208582878113,03
621,21,Rectum,0.7666223049163818,03
622,22,Rectum,0.6949586272239685,03
623,23,Rectum,0.7929894328117371,03
624,24,Rectum,0.7747287750244141,03
625,25,Rectum,0.8221639394760132,03
626,26,Rectum,0.8365132808685303,03
627,27,Rectum,0.8426743745803833,03
628,28,Rectum,0.7512440085411072,03
629,29,Rectum,0.7725856900215149,03
630,30,Rectum,0.5691419243812561,03
631,31,Rectum,0.5658237934112549,03
632,32,Rectum,0.7497019171714783,03
633,33,Rectum,0.8129500150680542,03
634,34,Rectum,0.6945701241493225,03
635,35,Rectum,0.8263340592384338,03
636,36,Rectum,0.7975940704345703,03
637,37,Rectum,0.8410654067993164,03
638,38,Rectum,0.8383293151855469,03
639,39,Rectum,0.8144955039024353,03
640,40,Rectum,0.6819244027137756,03
641,41,Rectum,0.735785961151123,03
642,42,Rectum,0.7466015815734863,03
643,43,Rectum,0.6995708346366882,03
644,44,Rectum,0.7961888313293457,03
645,45,Rectum,0.7590271234512329,03
646,46,Rectum,0.7923305630683899,03
647,47,Rectum,0.72926926612854,03
648,0,Bladder,0.8722918629646301,07
649,1,Bladder,0.950522780418396,07
650,2,Bladder,0.9383826851844788,07
651,3,Bladder,0.8994060754776001,07
652,4,Bladder,0.9117352962493896,07
653,5,Bladder,0.9227149486541748,07
654,6,Bladder,0.820756733417511,07
655,7,Bladder,0.9369022250175476,07
656,8,Bladder,0.8211333155632019,07
657,9,Bladder,0.9300198554992676,07
658,10,Bladder,0.9350283741950989,07
659,11,Bladder,0.9379076361656189,07
660,12,Bladder,0.9334095120429993,07
661,13,Bladder,0.9091095924377441,07
